question,User_type,Information_type,Question_type,tool_used,agent_response
"Hi, could you let me know what your return policy is? I recently ordered some sticky notes and I want to understand my options in case I need to send them back.",standard,policy,clear,,"Hi there! I’m glad you asked. Here’s our returns policy in a nutshell:

- Return window: 30 days from delivery.
- Eligibility:
  - Unopened items in original packaging are eligible.
  - Defective or damaged items are eligible (even after 30 days).
  - Opened paper reams are not returnable; custom-printed items are not returnable; Final Sale items cannot be returned; items without packaging are not accepted.
- Exceptions: Defective/damaged items can be returned anytime; items shipped in error are always eligible.
- How to start a return:
  - Contact our Returns Department to get an RMA. You’ll need your order number and reason for return.
  - The RMA is valid for 14 days.
  - Ship the item back with the RMA clearly marked on the outside of the package (use original packaging if possible; include packing slip). Insured shipping with tracking is recommended.
  - Email: returns@officeflow.com or call 1-800-OFFICE-1 ext. 3 (response within 4 business hours).
- Refunds:
  - Processed within 5–7 business days to the original payment method.
  - Shipping charges are non-refundable unless the return is due to our error or the item is defective.
  - Return shipping is typically the customer’s responsibility, unless the item was defective or we shipped the wrong item.
- Defective items:
  - Contact us within 48 hours of delivery (photos help). We’ll arrange pickup or provide a prepaid return label; replacement ships immediately after inspection; no return shipping charge for defective items.
- Exchanges:
  - We can exchange for a different item; same RMA process applies. Price differences may apply.
- For business accounts:
  - Some accounts have customized return policies. Your dedicated account manager can confirm specifics.
- Questions or help with your order:
  - Returns Department: returns@officeflow.com or 1-800-OFFICE-1 ext. 3
If you’d like, tell me your order number and the item you’re considering returning, and I can walk you through next steps or check eligibility. Is there anything else you’d like to know?"
"Hi there, could you tell me how long shipping usually takes? I'm planning to place an order for some office supplies and want to make sure they arrive in time.",standard,policy,clear,,"Hi there! I’d be happy to help with timelines. Here’s a quick guide to our shipping speeds and processing times:

- Standard (3-5 business days): Ships after processing in 1 business day if items are in stock. Orders before 2:00 PM EST ship same day; after 2:00 PM EST ship next business day. Free shipping threshold: $100+ in merchandise.
- Expedited (2-3 business days): Ships next day if ordered after 2:00 PM EST; otherwise same-day processing. Free shipping on orders $250+.
- Express (1-2 business days): Ships next business day if ordered after 2:00 PM EST. Signature required upon delivery; available Mon–Thu.
- Overnight (Next business day): Ships next business day if ordered by 12:00 PM EST. Signature required; available Mon–Thu.

Notes:
- Canada adds 1–2 days for customs.
- Tracking is emailed when the order ships; you can also track at www.officeflow.com/track.

If you tell me your destination (US or Canada) and your target delivery date, I can suggest the best option and, if you’d like, check item availability. Would you like to share those details? Also, if you’d prefer, you can hold for pickup at a distribution center to skip shipping. Is there anything else you’d like to know?"
"Hi, I was wondering if you offer any kind of bulk discount? I'm thinking about placing a larger order for our department and wanted to check before I go ahead.",standard,policy,clear,,"Hi there! Yes—OfficeFlow offers bulk discounts for larger orders. Bulk pricing is available on many items, typically for 10+ units, and we also offer contract pricing for regular high-volume customers.

To get a formal quote:
- Email: sales@officeflow.com
- Phone: 1-800-OFFICE-1 ext. 2
- Quotes are usually valid for 30 days.

If you’re pursuing a business account, an Account Manager can provide custom pricing and terms.

If you share the item numbers and quantities you’re considering (and your delivery location), I can help you prepare the details to send to sales. Is there anything else you’d like me to check or prepare?"
"Hi, could you tell me what your ordering process looks like? I'd like to place an order for some copy paper but I'm not sure how to go about it — do I order through the website, or can I place an order over the phone?",standard,policy,clear,,"Hi there—yes, you can order either online or by phone. The website is the recommended method.

Here’s how you can proceed:
- Online: Visit www.officeflow.com, sign in, search for copy paper (select size, weight, and brightness), add to cart, and checkout. You’ll get real-time inventory visibility and an order confirmation with your order number.
- By phone: Call our Sales Team at 1-800-OFFICE-1 ext. 2. Hours are Mon–Fri 8:00 AM–7:00 PM EST and Sat 9:00 AM–2:00 PM EST. Have item numbers or descriptions, quantities, and your delivery address ready. You can also email sales@officeflow.com with the details and we’ll respond within 2 business hours during business hours.

A quick note: there is a $50 minimum order value for most customers (though business accounts may have different terms). If you’d like, I can help you pick the right copy paper and check current availability. Would you prefer to start online or by phone?"
"Hi, I was wondering about your policy on orders — like, what happens if something goes wrong?",standard,policy,vague,,"Hi there—great question. Here’s how we handle order issues at OfficeFlow:

- Damaged or defective items
  - Contact us within 48 hours of delivery (photos help).
  - We’ll arrange a replacement or refund, and you won’t pay return shipping. We can either pickup the item or send a prepaid return label.

- Items shipped in error / wrong items
  - Contact fulfillment with your order number.
  - Replacement ships the same or next business day. We’ll provide a return label if you received the wrong item.

- Lost packages
  - If tracking shows delivered but you didn’t receive it, contact us.
  - We’ll file a carrier claim and send a replacement. Claims typically take 3–5 business days.

- General returns (not defective/damaged)
  - 30-day window from delivery.
  - Requires an RMA number (valid for 14 days).
  - Some items aren’t returnable (e.g., opened paper reams for hygiene, Final Sale, etc.). 
  - Refunds are issued to the original payment method and usually take 5–7 business days.
  - Return shipping costs are typically the customer’s unless the item was defective or shipped in error.

- How to start
  - Returns Department: returns@officeflow.com or 1-800-OFFICE-1 ext. 3 (response within 4 business hours).
  - For shipping issues: fulfillment@officeflow.com or 1-800-OFFICE-1 ext. 5.

If you can share your order number and what happened, I can point you to the exact next step. Is there a specific issue with an recent order you’d like to address?"
"Hey, I had a quick question — what are your rules around exchanges?",standard,policy,vague,,"Hi there—great question. Our exchanges follow the same process as returns. Quick summary:

- How to start: you need a Return Merchandise Authorization (RMA). Contact our Returns Department at returns@officeflow.com or 1-800-OFFICE-1 ext. 3. The RMA is valid for 14 days.
- Eligibility: exchanges follow the same rules as returns. Items must be eligible for return/exchange (e.g., unopened in original packaging; defective items are eligible; Final Sale, opened paper reams, and custom-printed items are not eligible for exchange).
- Pricing: price differences may apply if you’re exchanging for a different item.
- Timing: we ship the replacement after we receive and inspect the returned item. If the item was defective or shipped in error, we can discuss shipping/remedial options.
- For business accounts: exchanges may be customized by your account manager.

If you’d like, share your order number and what you want to exchange for, and I can guide you through the next steps or connect you with Returns. Is there anything else I can help with?"
"Hi there, I was just curious about your policies — like, how does everything work if I need to cancel something?",standard,policy,vague,,"Hi there! Great question—here’s how cancellations work at OfficeFlow:

- Before processing has begun: if you’re within 2 hours of placing the order, you can cancel or modify totally free. Contact the sales team right away (sales@officeflow.com or 1-800-OFFICE-1 ext. 2; Mon–Fri 8:00 AM–7:00 PM EST, Sat 9:00 AM–2:00 PM EST).

- After processing has begun: cancellations may incur a 15% restocking fee on the order total. Modifications are limited to changing the delivery address.

- Custom or special-order items: cannot be canceled once processing has started.

- Backorders: you can cancel backordered items anytime without penalty, and you’re not charged until the item ships.

- Refunds: if eligible, refunds are processed in 5–7 business days to the original payment method.

If you’d like, I can connect you with our Sales Team to start a cancellation. Do you have your order number handy? Or would you like me to reach out to sales on your behalf?"
"Hi, I was wondering — what are your hours? Like, when can I reach someone if I have a question?",standard,policy,vague,,"Hi there! Great question.

- Customer Service hours: Monday–Friday 7:00 AM–7:00 PM EST; Saturday 9:00 AM–2:00 PM EST. Sunday is closed.
- How to reach us: support@officeflow.com or 1-800-OFFICE-1 ext. 1.
- Web portal: www.officeflow.com is open 24/7 for orders, questions, and account management.
- After-hours help: urgent issues outside business hours can go to urgent@officeflow.com (response within 2 hours); non-urgent inquiries will be answered next business day.
- Language support: English and Spanish for US customers; French for Canadian customers.

Would you like me to connect you with a specific department or share a direct contact number?"
"Hi there! I'm thinking about ordering some manila file folders for our office, but I wanted to ask a couple things first — what's your return policy in case we don't end up needing them all, and also, do you offer free shipping or is there a minimum order amount for that? Thanks!",standard,policy,multi_intent,,"Hi there! I'd be happy to help with that.

Returns
- Returns are handled by our Returns Department. Reach them at returns@officeflow.com or 1-800-OFFICE-1 ext. 3. They typically respond within 4 business hours.

Shipping and minimums
- Free shipping
  - Standard Shipping: free on orders of $100+ before tax
  - Expedited Shipping: free on orders of $250+ before tax
- Other shipping options and rates
  - Standard: $8.95
  - Expedited: $15.95
  - Express: $24.95
  - Overnight: $39.95
- Processing and delivery
  - Orders placed before 2:00 PM EST ship the same day; otherwise next day. Standard delivery is typically 3-5 business days.
- Minimum order
  - $50 before tax and shipping, unless you have a Business Account (no minimum).

If you’d like, I can pull some Manila file folder options (sizes, finishes, and current pricing) and check availability. Or you can place orders anytime via www.officeflow.com or by contacting our Sales Team at sales@officeflow.com. Would you like me to fetch some specific folder options for you?"
"Hi! I'm looking to place an order for about 20 packs of the sticky notes and maybe some copy paper too. Could you let me know if you have enough in stock, and also what your shipping timeframe looks like? I need everything by next Friday if possible.",standard,policy,multi_intent,,"Hi there! I’d be happy to help.

Stock status
- Copy Paper (500 Sheets): in stock and available. Price is $8.99 per pack.
- Sticky notes: I can’t find sticky notes in our current inventory. If you have a specific brand/size in mind, I can check with our Sales team or set up a backorder/substitution option.

Shipping timeframe (to help meet your Friday deadline)
- Processing: Orders placed before 2:00 PM EST ship the same business day; after 2:00 PM EST, they ship the next business day. Standard items typically take 1 business day to process.
- Delivery options (US/Canada): 
  - Standard: 3-5 business days
  - Expedited: 2-3 business days (order by 2:00 PM EST for same-day processing)
  - Express: 1-2 business days (order by 2:00 PM EST for same-day processing; Mon-Thu)
  - Overnight: Next business day (order by 12:00 PM EST; Mon-Thu)
- Since today is Saturday, orders would start processing on Monday. For your Friday deadline, Expedited or Express would be your best bets to arrive on time.

Next steps
- Want me to check stock for a specific sticky-notes brand/size or set up a backorder/substitution option?
- If you’d like, I can help you start a quote for 20 packs of copy paper and guide you to place the order online. Also, please share your delivery address and preferred shipping method so I can estimate exact ETA.

Would you like me to proceed with checking sticky-note options and prepare a quote for the copy paper?"
"Hi, I'm interested in ordering some spiral notebooks and a few desk tape dispensers for our team. Before I do, could you let me know your return policy and also whether you offer any kind of bulk pricing if I'm ordering larger quantities? Thanks!",standard,policy,multi_intent,,"Hi there! I’d be happy to help.

Return policy
- You can return most items within 30 days of delivery with an RMA number. Unopened items in original packaging are eligible; some items (like opened paper reams, final-sale items, and certain custom items) are not.
- Defective or damaged items can be returned or replaced outside the 30-day window. Shipping charges are typically refunded only if the item was incorrect or defective.
- Refunds are issued to the original payment method and usually take 5–7 business days after we receive the return.
- How to start a return: contact Returns at returns@officeflow.com or 1-800-OFFICE-1 ext. 3. They respond within 4 business hours on business days.
- For questions about business accounts or customized return terms, your account manager can help.

Bulk pricing
- Yes—bulk discounts are available for larger orders. Generally, pricing discounts apply to 10+ units of the same item.
- Quotes are available and valid for 30 days. For bulk pricing, you can contact sales@officeflow.com or call 1-800-OFFICE-1 ext. 2.
- Minimum order value is typically $50 before tax for most customers, but business accounts can have different terms with no minimums. If you’re a high-volume buyer, an account manager can tailor pricing and terms.
- If you’d like, I can connect you with a sales rep to prepare a bulk quote for spiral notebooks and desk tape dispensers.

What I need from you to move forward
- Item numbers or exact product names for the spiral notebooks and desk tape dispensers.
- Desired quantities and your delivery location (city/cold zone or ZIP code if needed for shipping).
- Are you ordering through a business account or as a standard customer?

Would you like me to route this to our sales team for a bulk quote, or would you prefer I pull some product options first? And is there anything else you’d like to know right now?"
"Hi there! I'm looking to order some letter size envelopes for our office. Could you tell me how many packs you have available right now, and also what your shipping policy is? I want to make sure I know the delivery timeframe and if there are any shipping fees I should be aware of. Thanks!",standard,policy,multi_intent,,"Hi there! I can help with that.

About the envelopes: I can’t find any letter-size envelope SKUs in our current inventory listing. If you have a specific size (e.g., #10, 9x12), window vs. non-window, and the quantity per pack you need, I’ll re-check. I can also loop in Sales for a possible special order if you’d like.

Shipping policy at a glance:
- Processing: Orders placed before 2:00 PM EST ship the same business day; after 2:00 PM, they ship the next business day. Standard items take about 1 business day to process.
- Standard shipping: 3-5 business days, $8.95 flat rate. Free shipping on orders $100+ before tax.
- Expedited shipping: 2-3 business days, $15.95.
- Express shipping: 1-2 business days, $24.95.
- Overnight shipping: Next business day, $39.95. Order by 12:00 PM EST for this option.
- Tracking: You’ll receive a tracking number by email, and can check status at www.officeflow.com/track.
- Coverage: US (including Alaska/Hawaii), Canada; international orders available on request for large orders. For questions, contact fulfillment@officeflow.com or 1-800-OFFICE-1 ext. 5.

Would you like me to search for envelope options with more details, or should I connect you with Sales for a potential order? And is there anything else you need today?"
"Hi, I placed an order for some binder clips and dry erase markers a few days ago and I haven't received a confirmation email yet. Could you help me track down my order and let me know the status?",standard,out_of_scope,clear,,"Hi there—happy to help. I can’t access order status from here, but you can get an update quickly:

- Log in to your OfficeFlow account portal and go to Orders to view the latest status and any tracking number.
- If you can’t access the portal, email fulfillment@officeflow.com with your order number (or the email used for the order), the approximate order date, and your shipping address. They’ll confirm the status.

Also, please check your spam/junk folder for the confirmation email in case it was misrouted.

Would you like me to check current stock on binder clips and dry erase markers while you reach out to fulfillment? If you have your order number handy, I can help you prepare a quick note to include in your email."
"Hi, I'd like to return a stapler I purchased last week — it's not working properly. Can you help me process the return and arrange for a replacement to be shipped out?",standard,out_of_scope,clear,,"Hi there—I’m glad you reached out, and I’m sorry your stapler isn’t working. I can help get this resolved.

Here’s how to get your replacement started:
- Gather: your order number and the stapler’s model/sku. If you have photos of the defect, that helps.
- Contact Returns: email returns@officeflow.com or call 1-800-OFFICE-1 ext. 3. Mention you’re requesting a replacement for a defective item purchased within the last 30 days.
- RMAnote: they’ll issue a Return Merchandise Authorization (RMA) valid for 14 days. Please mark the outside of the return package with the RMA.
- Shipping at no cost: for defective items, we’ll arrange either a carrier pickup or provide a prepaid return label. Replacement will ship as soon as the defect is confirmed.
- What to include: order number, item description, brief defect explanation, and any photos if available. If you want an exchange for the same stapler or a different model, tell us your preference.

If you’d like, I can draft a quick note you can send to returns@officeflow.com with everything ready. Just share the order number and stapler model, and your preferred replacement option (same model or a different one).

Would you like me to prepare that draft for you, or is there anything else I can help with right now?"
"Hi there, I recently created an account on your website but I need to update my shipping address. Could you walk me through how to change that in my account settings?",standard,out_of_scope,clear,,"Absolutely—I'd be happy to help. Here’s how to update your shipping address:

- If you want to change the default shipping address on your OfficeFlow account:
  - Email Accounts Team: accounts@officeflow.com
  - Include: your account email, company name (if applicable), and the new shipping address. Indicate you’d like this to be the default address for future orders. They’ll confirm once it’s updated.

- If you need the change for a specific order (before it ships):
  - For pending orders: contact Sales at sales@officeflow.com or 1-800-OFFICE-1 ext. 2 with your order number and new address.
  - If the order has already shipped: you may be able to reroute with the carrier (fee $10-15). Email Fulfillment at fulfillment@officeflow.com or call 1-800-OFFICE-1 ext. 5 with the tracking number.

If you’d like, I can draft a short message for you. Just share the account email and the new address you want to use. Is there anything else I can help with?"
"Hi, I placed an order for some copy paper and sticky notes last week and I'd like to add a few packs of the blue ballpoint pens to that same order. Is it possible to modify an existing order before it ships?",standard,out_of_scope,clear,,"Hi there—thanks for checking in. I can’t modify orders directly or access order details, but our Fulfillment team can often help with changes before shipping.

What you can do:
- Email fulfillment@officeflow.com with your order number and the items you want to add (e.g., blue ballpoint pens and quantities). They’ll confirm whether the modification is possible and what the next steps are.
- If modification isn’t possible, they’ll advise on alternatives (e.g., placing a separate order for the pens).

If you’d like, I can check stock for a specific blue ballpoint pen to help you decide what to add. Please share the exact product name or SKU and how many packs you want.

Would you like me to pull stock information once you provide the product details? And do you have the order number you can share?"
"Hi, I'm having some trouble with something I ordered — can you help me sort it out?",standard,out_of_scope,vague,,"Hi there! I’m happy to help you sort this out.

Could you tell me what’s going on with your order (missing item, damaged item, wrong item, delay, billing issue, etc.)? If you have the order number, sharing it will help me guide you more quickly.

In the meantime, here are the right contacts based on the issue:
- Status or tracking: check your account portal or email fulfillment@officeflow.com
- Returns or refunds: returns@officeflow.com (they typically respond within 4 business hours)
- Billing or account changes: accounts@officeflow.com

If you’d like, tell me the exact issue and I’ll point you to the correct contact and help you gather the details (order number, item name/SKU, issue description, photos if damaged). What happened with your order? Do you have the order number handy?"
"Hey, I need to get some supplies for our team but I'm not really sure how to go about it — can you help me with that?",standard,out_of_scope,vague,,"I'd be happy to help you get set up. A quick way to start is with a simple, scalable kit and we can tailor it as we go.

Here’s a starter list you can adapt:
- Paper and writing: copy paper (8.5x11, standard weight), notebooks, sticky notes, whiteboard markers
- Writing instruments: black/blue ballpoint pens, highlighters
- Organization: binders, file folders, dividers, desk organizers
- Office basics: stapler, staples, scissors, tape, paper clips, rubber bands
- Breakroom/essentials: tissues, hand sanitizer (if you stock a break area)

To tailor this, a few quick questions:
1) How many people are on your team?
2) Do you have a monthly budget range?
3) Any preferred brands or sustainability preferences?
4) Where will delivery be going, and how often would you like items delivered?
5) Any must-have items or items you want to avoid?

If you’d like, I can draft a more precise starter list based on a typical mid-size team and check current availability and pricing for those items. Just say the word. And if you’d prefer, you can also reach our sales team at sales@officeflow.com for a quote. Is there a good time to start with a quick list? Do you need anything else right now?"
"Hi, I was wondering if you could help me with something — I think there might be an issue with my account but I'm not entirely sure what's going on.",standard,out_of_scope,vague,,"Hi there—I'm glad you reached out, and I’m sorry you’re running into something with your account. I’m happy to help figure it out.

Could you share a bit more about what you’re seeing?
- Is it a login issue, a billing/payment issue, or something else?
- Any error messages or recent changes to the account?
- What email is associated with the account (if you’re comfortable sharing)?

For account-related issues, please contact our Accounts team at accounts@officeflow.com with:
- Your account email
- A brief description of the issue
- Any screenshots or error messages

If this might be a website/technical issue, you can also reach support@officeflow.com.

Would you like me to draft a quick message you can send to accounts@officeflow.com, or would you prefer I guide you through some basic troubleshooting steps first? And is there anything else I can help with right now?"
"Hi there, I ordered some spiral notebooks a while back and I'm wondering if there's a way to get a receipt or invoice sent to me again? I'm not sure where to find it.",standard,out_of_scope,vague,,"Hi there—I'd be happy to help with that.

Here are quick options to get your invoice copy:

- Web portal: Log in at www.officeflow.com and go to Order History. You can view and download invoices for past orders (digital invoices are available there).

- If you can’t access the portal or need a fresh copy emailed to you: contact our Sales Team at sales@officeflow.com or call 1-800-OFFICE-1 ext. 2 (Mon–Fri, 8:00 AM–7:00 PM EST; Sat 9:00 AM–2:00 PM EST). They can re-send the invoice.

If you have your order number, I can help you figure out the quickest way to get it—would you share the order number or tell me if you’d like me to connect you with the Sales Team to re-send the invoice? Also, tell me the preferred email address for delivery."
"Hi! I'm interested in picking up some staplers and maybe a few packs of the manila file folders for our office. Could you let me know what's currently in stock for both, and also — is there a way I can place the order directly through this chat, or do I need to go through the website? Thanks!",standard,out_of_scope,multi_intent,,"Hi there! I can help with that.

Stock and pricing:
- Stapler with Staples — $12.99 — in stock, but running low.
- Manila File Folders (25-pack) — $9.99 — only a few left in stock.

Ordering options:
- You can place orders directly on our website via the web portal.
- Or you can email a sales order to sales@officeflow.com and they’ll handle it for you.

Would you like me to prepare a quick order summary for the two items (with your desired quantities) to share with our sales team, or would you prefer to start on the website now? Is there anything else you’d like to add?"
"Hi, I'm looking to order about 15 packs of the copy paper and some binder clips for our department. Can you check if you have enough in stock, and also could you go ahead and place the order for me? I'd also like to know if there's a way to set up recurring orders so I don't have to reorder every month.",standard,out_of_scope,multi_intent,,"Hi there—thanks for reaching out. I can help with parts of this.

- Copy paper: Currently in stock and available. The price is $8.99 per pack.
- Binder clips: I can’t find binder clips in our current catalog. Could you share the size/quantity you need, or would you like me to have our sales team source a suitable option?

Regarding placing the order
- I can’t place orders directly, but you can order in two easy ways:
  - Online: log in at www.officeflow.com and use the web portal to add items to your cart and checkout.
  - By contacting Sales: sales@officeflow.com or 1-800-OFFICE-1 ext. 2 (Mon–Fri, 8:00 AM–7:00 PM EST; Sat 9:00 AM–2:00 PM EST).

Recurring orders
- We do offer options for ongoing purchasing through a Business Account with an Account Manager, which can handle regular orders, pricing, and terms. If you’d like to set this up, I can connect you with an account manager. Please share:
  - Your preferred cadence (monthly, biweekly, etc.)
  - Delivery address
  - Any PO or billing needs

Would you like me to loop in Sales to source binder clips and explore a standing order for you? If yes, tell me the binder clip size/quantity and your company name so I can pass along the details. And would you like me to set up a conversation about recurring orders with an account manager?"
"Hi there! I'd like to grab some dry erase markers and a desk tape dispenser for our office. Could you tell me how much those cost, and also — I recently ordered some envelopes but they arrived damaged. Is there someone I can talk to about getting a refund or replacement for those? Thanks!",standard,out_of_scope,multi_intent,,"Hi there! I’m happy to help.

- Dry erase markers and a desk tape dispenser: I can’t find these items in our current catalog, so I don’t have prices to share. If you’d like, I can connect you with our Sales team at sales@officeflow.com to confirm availability and pricing, or I can keep an eye out for suitable equivalents if you have a preferred brand or size.

- Damaged envelopes: Yes—our Returns Department handles refunds or replacements. Here’s how to proceed:
  - Email returns@officeflow.com or call 1-800-OFFICE-1 ext. 3. They typically respond within 4 business hours.
  - Have your order number ready; they’ll issue an RMA. The RMA is valid for 14 days.
  - For damaged items: you can return them at any time, and we’ll arrange pickup or provide a prepaid return label. Replacement items ship immediately after inspection.
  - Refunds are processed within 5-7 business days after the return is processed.

Would you like me to connect you with Sales about the markers and dispenser, and/or start a returns inquiry for your envelopes? And is there anything else you’d like me to look up?"
"Hi, I'm thinking about ordering some blue ballpoint pens and sticky notes for our office. Could you check availability and pricing on those? Also, I'd like to cancel an order I placed earlier this week — I accidentally ordered the wrong item. Can you help with both of those things?",standard,out_of_scope,multi_intent,,"Hi there—happy to help!

Blue ballpoint pens
- Blue Ballpoint Pens (12-pack) are in stock and priced at $5.49.

Sticky notes
- I couldn’t locate a sticky notes item in our current inventory with those terms. If you can share size (e.g., 3x3), pack count, or a brand reference, I’ll search again right away. If you’d like, I can also loop in our sales team to source sticky notes not showing in the catalog.

Cancellation of a previous order
- We can help, but I’ll need your order number and the item you want canceled. How far along is the order? If it’s still before processing, we can cancel with no fee. If processing has started, a 15% restocking fee may apply. Please provide the order number and item details, and I’ll guide you through the next steps. You can also reach our Sales Team at sales@officeflow.com or 1-800-OFFICE-1 ext. 2 (Mon–Fri, 8:00 AM–7:00 PM EST; Sat 9:00 AM–2:00 PM EST).

Would you like me to proceed with a sticky notes search using any specific details, or would you prefer I contact the sales team to source them? And please share your order number to start the cancellation. Is there anything else you’d like me to look up?"
